tweet,clean_tweet,sentiment
@ bupati Langkat https://t.co/YhmfcTGHTi,  bupati langkat ,Neutral
Keluarga pasien yang direhab menolak saat polisi akan  mengevakuasi. https://t.co/1dbzSfOxfZ,keluarga pasien yang direhab menolak saat polisi akan  mengevakuasi  ,Negative
Polda Sumatera Utara mencoba mengevakuasi para korban yg berada di kerangkeng milik Bupati Langkat Non Aktif | Namu… https://t.co/DSlz0fhfRE,polda sumatera utara mencoba mengevakuasi para korban yg berada di kerangkeng milik bupati langkat non aktif   namu ,Neutral
"OTT Bupati Langkat, Tim KPK Akui Melihat Kerangkeng Di Rumah Terbit https://t.co/gqZqqunTKx",ott bupati langkat  tim kpk akui melihat kerangkeng di rumah terbit ,Neutral
"Kemendagri dukung pengusutan kasus perbudakan modern Bupati Langkat
https://t.co/DRl2vywpPm https://t.co/dbVIa6EcvR",kemendagri dukung pengusutan kasus perbudakan modern bupati langkat  ,Negative
"JUAL NETFLIX PREMIUM MURAH

SHARING
45/bulan
130/3bulan

PRIVATE
195/bulan

MINAT DM/WA

youtube spotify disney hot… https://t.co/97u1DSK9yG",jual netflix premium murah  sharing  bulan    private  bulan  minat dm wa  youtube spotify disney hot ,Positive
Polisi terus menyelidiki temuan penjara di rumah bupati langkat nonaktif Terbit Perangin Angin. Begini isi dan kond… https://t.co/YlhHQojyIc,polisi terus menyelidiki temuan penjara di rumah bupati langkat nonaktif terbit perangin angin  begini isi dan kond ,Neutral
Kerangkeng Manusia di Rumah Bupati Langkat Pertama Kali Ditemukan oleh Tim Penyelidik KPK Saat OTT… https://t.co/SA0R1XHAHf,kerangkeng manusia di rumah bupati langkat pertama kali ditemukan oleh tim penyelidik kpk saat ott ,Neutral
KPK Geledah Rumah Pribadi Bupati Langkat Terbit Rencana Perangin Angin https://t.co/tpgzMnnUba,kpk geledah rumah pribadi bupati langkat terbit rencana perangin angin ,Negative
"Bupati Langkat melakukan perbudakan?

Smh,, i hope a meteor killed us",bupati langkat melakukan perbudakan   smh   i hope a meteor killed us,Neutral
Iblis minder liat kelakuan Bupati Langkat 😞,iblis minder liat kelakuan bupati langkat ,Negative
Budak yg di kerangkeng bupati Langkat dah ampe 10 taun..... 😬☹️☹️,budak yg di kerangkeng bupati langkat dah ampe  taun      ,Neutral
@Tribun_Solo Manusia biadab itu Bupati Langkat tsb ... berikan hukuman yg seberat2nya utk dia .. sdh merampok uang… https://t.co/jisk5mXPjp, manusia biadab itu bupati langkat tsb     berikan hukuman yg  utk dia    sdh merampok uang ,Negative
"KSP Akan Pastikan Bupati Langkat Dihukum Seberat-beratnya soal Kerangkeng Manusia

https://t.co/J82BmWHOgr",ksp akan pastikan bupati langkat dihukum seberat beratnya soal kerangkeng manusia  ,Negative
"@susipudjiastuti Maaf Bu... 
Memang rerata mereka semua pecandu narkoba, dan direhab dgn di pekerjakan. 
Narkoba di… https://t.co/QR3cPRkBf2", maaf bu     memang rerata mereka semua pecandu narkoba  dan direhab dgn di pekerjakan   narkoba di ,Negative
"Kalau perlakuan Bupati Langkat kepada sesama manusia itu terbukti benar, dan kalau hukumannya &lt;5 tahun mah, bener-b… https://t.co/nHd6GO1O9e",kalau perlakuan bupati langkat kepada sesama manusia itu terbukti benar  dan kalau hukumannya  lt  tahun mah  bener b ,Positive
@KompasTV Pak kapolda ud kyk juru bicara bupati langkat.., pak kapolda ud kyk juru bicara bupati langkat  ,Neutral
@Sri_nuryantiK @Duta_Hidayat @susipudjiastuti @DivHumas_Polri @ListyoSigitP Bupati langkat aja boleh 🗿,     bupati langkat aja boleh ,Neutral
"Untuk bupati langkat
Di zaman modern ini kita di perbudak oleh waktu, bukan di perbudak saat zaman batu.",untuk bupati langkat di zaman modern ini kita di perbudak oleh waktu  bukan di perbudak saat zaman batu ,Neutral
"Soal Kerangkeng di Rumah Bupati Langkat, Gubernur Edy Rahmayadi Minta Diusut Tuntas https://t.co/Yi7882l2WW",soal kerangkeng di rumah bupati langkat  gubernur edy rahmayadi minta diusut tuntas ,Positive
"Seru bener ya baca berita soal bupati langkat, bisa bikin penjara sendiri gitu. Hobi pejabat nih emang aneh-aneh bener heran.",seru bener ya baca berita soal bupati langkat  bisa bikin penjara sendiri gitu  hobi pejabat nih emang aneh aneh bener heran ,Negative
"@KompasTV Menunggu hasil investigasi aliran dana hasil korupsi Bupati Langkat, semoga tidak ada personil Mabes Polr… https://t.co/fWAf5PaG5X", menunggu hasil investigasi aliran dana hasil korupsi bupati langkat  semoga tidak ada personil mabes polr ,Negative
KontraS Sumut Desak Komnas HAM Usut Kerangkeng di Rumah Bupati Langkat https://t.co/dckSGjDYTs,kontras sumut desak komnas ham usut kerangkeng di rumah bupati langkat ,Negative
"Petugas Komisi Pemberantasan Korupsi (KPK) kembali melakukan pengeledahan di rumah pribadi Bupati Langkat nonaktif,… https://t.co/Ic15dtabjt",petugas komisi pemberantasan korupsi  kpk  kembali melakukan pengeledahan di rumah pribadi bupati langkat nonaktif  ,Negative
"@KompasTV Ingat bahaya dan efek negatif dan sangat berbahaya bagi pengguna Narkoba, panti rehabilitasi yg dilakukan… https://t.co/YZh932nEcU", ingat bahaya dan efek negatif dan sangat berbahaya bagi pengguna narkoba  panti rehabilitasi yg dilakukan ,Negative
Anak bupati langkat sering menang fansign berarti duitnya dariiii bapaknya kan ya,anak bupati langkat sering menang fansign berarti duitnya dariiii bapaknya kan ya,Positive
"Perhimpunan Indonesia untuk Buruh Migran Berdaulat, Migrant Care, melaporkan keberadaan kerangkeng manusia yang did… https://t.co/eLv5l0BLdk",perhimpunan indonesia untuk buruh migran berdaulat  migrant care  melaporkan keberadaan kerangkeng manusia yang did ,Positive
Plt Badan Narkotika Nasional Kabupaten Langkat menyebutkan tempat rehabilitasi yang berada di rumah bupati nonaktif… https://t.co/r4SXlWsH5x,plt badan narkotika nasional kabupaten langkat menyebutkan tempat rehabilitasi yang berada di rumah bupati nonaktif ,Negative
"Astaghfirullah
Bupati Langkat https://t.co/ucxJgPqmxl",astaghfirullah bupati langkat ,Neutral
Hanung Bramantyo mengecam Bupati Langkat yang melakukan perbudakan. https://t.co/aspYCUWys0,hanung bramantyo mengecam bupati langkat yang melakukan perbudakan  ,Negative
"#TangkapEdyKadrun orang kalau dah kena virus kadrun yg mengendalihkan dirinya itu iblis,contoh si edy,azam,bupati l… https://t.co/qdHmZP8Lu4", tangkapedykadrun orang kalau dah kena virus kadrun yg mengendalihkan dirinya itu iblis contoh si edy azam bupati l ,Negative
kasus bupati langkat ni agaknya SE frekuensi sm voice 4 di eps berapa dah lupa plus bbrp drakor lain yg ngangkat is… https://t.co/jTzQj1X9M2,kasus bupati langkat ni agaknya se frekuensi sm voice  di eps berapa dah lupa plus bbrp drakor lain yg ngangkat is ,Negative
Akademisi2 Indonesia punya tanggung jawab moral mengkritisi dan mengawal investigasi kerangkeng manusia bupati Lang… https://t.co/MZicbPnVnB, indonesia punya tanggung jawab moral mengkritisi dan mengawal investigasi kerangkeng manusia bupati lang ,Negative
"Menurut #KPK ada pihak yang berniat menghalangi penggeledahan rumah #BupatiLangkat, siapa?

Baca selengkapnya 👇
https://t.co/QUtNuT3fhi",menurut  kpk ada pihak yang berniat menghalangi penggeledahan rumah  bupatilangkat  siapa   baca selengkapnya  ,Neutral
@nibenian Kamu mau gak dibina sama bupati langkat dek?, kamu mau gak dibina sama bupati langkat dek ,Positive
Polri: Kerangkeng Di Rumah Bupati Langkat Tempat Penampungan Pecandu Narkoba-WB https://t.co/LGyZYbGHPz,polri  kerangkeng di rumah bupati langkat tempat penampungan pecandu narkoba wb ,Negative
"Kok bisa si babi itu jadi bupati langkat. 
Seandainya berita perbudakan ini benar dan dia di hukum ringan, hukum ke… https://t.co/fknBftplPk",kok bisa si babi itu jadi bupati langkat   seandainya berita perbudakan ini benar dan dia di hukum ringan  hukum ke ,Positive
Polri Usut Dugaan Perbudakan Terkait Temuan Penjara Di Rumah Bupati Langkat   https://t.co/tRCQDIQkmD,polri usut dugaan perbudakan terkait temuan penjara di rumah bupati langkat   ,Negative
"Ternyata aksi bupati Langkat ini udh berlangsung selama 10 tahun
Ksksksk gilaaa
https://t.co/ITBOczQzwJ",ternyata aksi bupati langkat ini udh berlangsung selama  tahun ksksksk gilaaa ,Neutral
"Bentrokan Di Papua, Renggut 18 Nyawa
'Penjara' Ala Bupati Langkat, Buat Apa?
Saksikan Apa Kabar Indonesia Malam ber… https://t.co/OTesfncaGT",bentrokan di papua  renggut  nyawa  penjara  ala bupati langkat  buat apa  saksikan apa kabar indonesia malam ber ,Negative
"Astaghfirullah
Bupati Langkat https://t.co/ZVJJdOgHSX",astaghfirullah bupati langkat ,Neutral
Japrem! KPK Dalami Setoran Uang Proyek Yang Diterima Bupati Langkat https://t.co/SDooFU2ESs,japrem  kpk dalami setoran uang proyek yang diterima bupati langkat ,Positive
Polri Sebut Kerangkeng di Rumah Bupati Langkat Ilegal https://t.co/Gw2xm8tQO1,polri sebut kerangkeng di rumah bupati langkat ilegal ,Negative
KPK Ingatkan Ancaman Pidana Mereka yang Halangi Penyidikan Kasus Bupati Langkat https://t.co/NaWwv1a4jF,kpk ingatkan ancaman pidana mereka yang halangi penyidikan kasus bupati langkat ,Negative
"@beibbobsungjin @tubirfess Bangettttt, bhkn praktik ini berlangsung 10 tahun lamanya dgn dalih rehabilitasi. I mean… https://t.co/tXUCoV6srh",  bangettttt  bhkn praktik ini berlangsung  tahun lamanya dgn dalih rehabilitasi  i mean ,Negative
BUPATI LANGKAT HEH GA BISA BERKATA KATA SUMPAH LOH ANDA MANUSIA PAK??? TAK CABI CABIK KMU YAH,bupati langkat heh ga bisa berkata kata sumpah loh anda manusia pak    tak cabi cabik kmu yah,Neutral
"Syok Temuan Penjara Di Rumah Bupati Langkat, Arsul Sani: Polri Harus Mengusutnya https://t.co/wQTsyKj2eR",syok temuan penjara di rumah bupati langkat  arsul sani  polri harus mengusutnya ,Negative
"Astaghfirullah
Bupati Langkat https://t.co/YipnwD4veQ",astaghfirullah bupati langkat ,Neutral
Gila ini bupati langkat ... Itu dia laki2 apa perempuan sih dipanggilnya IBU,gila ini bupati langkat     itu dia  apa perempuan sih dipanggilnya ibu,Negative
"@Nicho_Silalahi  ada kerangkeng manusia di rumah Bupati Langkat, Sumatra Utara. Itu daerah mu.
Luar bisa. https://t.co/J19h8nkX31",  ada kerangkeng manusia di rumah bupati langkat  sumatra utara  itu daerah mu  luar bisa  ,Positive
"@detikcom Cara pandang orang berbeda-beda melihat kasus ini, bupati Langkat mengambil ruang tersendiri buat PENYELA… https://t.co/hVE5UIPOa3", cara pandang orang berbeda beda melihat kasus ini  bupati langkat mengambil ruang tersendiri buat penyela ,Negative
BNN Tahu Kerangkeng Manusia di Kediaman Bupati Langkat Sejak Lama https://t.co/cTfjCJCqvx,bnn tahu kerangkeng manusia di kediaman bupati langkat sejak lama ,Neutral
"Bupati nonaktif Langkat yang terjaring OTT KPK, Terbit Rencana Perangin-Angin menjadi sorotan publik. Baru-baru ini… https://t.co/nwPNlF8IrY",bupati nonaktif langkat yang terjaring ott kpk  terbit rencana perangin angin menjadi sorotan publik  baru baru ini ,Neutral
@LeeM1neraL Bupati Langkat sungguh keterlaluan, bupati langkat sungguh keterlaluan,Negative
Bupati Langkat nih orang FF kah?,bupati langkat nih orang ff kah ,Neutral
"dikasi papan bunga nih buat Bupati Langkat wkwk
#BupatiLangkat https://t.co/p9FOIbQJFE",dikasi papan bunga nih buat bupati langkat wkwk  bupatilangkat ,Neutral
"kerangkeng manusia punya perangin ini jebul dah ada selama 10 tahun. edan. 10 tahun. aku jadi penasaran, selain bup… https://t.co/LRgerpbU9j",kerangkeng manusia punya perangin ini jebul dah ada selama  tahun  edan   tahun  aku jadi penasaran  selain bup ,Negative
"Sewa Kost Pria Karyawan Kramat Lontar VII Senen Jakarta Pusat https://t.co/HB9ZMrTxH3 Singapura
Sean Gelael… https://t.co/qVsxzxuCsP",sewa kost pria karyawan kramat lontar vii senen jakarta pusat  singapura sean gelael ,Neutral
"Kost Khusus Pria di Bambu Apus Jakarta Timur - Karyawan dan Mahasiswa https://t.co/kHT8d2KpTK Singapura
Sean Gelael… https://t.co/84WtmMxXRj",kost khusus pria di bambu apus jakarta timur   karyawan dan mahasiswa  singapura sean gelael ,Neutral
Bupati langkat itu tenryuubito. Change my mind,bupati langkat itu tenryuubito  change my mind,Neutral
"Korban perbudakan oleh Bupati Langkat hari ini disebut ""pekerja"" dan ""binaan"". Pekerja yang tidak punya kendali ata… https://t.co/NJQYGdJqMJ",korban perbudakan oleh bupati langkat hari ini disebut  pekerja  dan  binaan   pekerja yang tidak punya kendali ata ,Negative
"Kost Eksklusif kids friendly di Jakarta Selatan - Griya Nafizka https://t.co/pYNBgByZvY Singapura
Sean Gelael… https://t.co/AgU6HSOPXt",kost eksklusif kids friendly di jakarta selatan   griya nafizka  singapura sean gelael ,Neutral
Perihal Bupati Langkat: Orang yang membiarkan kejahatan berlangsung tapi tidak melakukan apapun untuk mencegah atau… https://t.co/HtZlhLdMvu,perihal bupati langkat  orang yang membiarkan kejahatan berlangsung tapi tidak melakukan apapun untuk mencegah atau ,Negative
"Kost Bangunan Baru Untuk Wanita di Pejompongan Bendungan Hilir - Sophilia House https://t.co/19uHLPLamU Singapura
S… https://t.co/5vcpP1Atud",kost bangunan baru untuk wanita di pejompongan bendungan hilir   sophilia house  singapura s ,Neutral
"Kerangkeng manusia di rumah Bupati nonaktif Langkat digunakan untuk rehabilitasi pecandu narkoba. Namun, ahli menil… https://t.co/FLKj2Ky104",kerangkeng manusia di rumah bupati nonaktif langkat digunakan untuk rehabilitasi pecandu narkoba  namun  ahli menil ,Negative
Praktik perbudakan terungkap usai KPK tangkap Bupati Langkat https://t.co/2wMZS7us0u,praktik perbudakan terungkap usai kpk tangkap bupati langkat ,Positive
"@kompascom sangat disayangkan
Singapura
Sean Gelael
#BestSellerGoSend
Bupati Langkat
iPhone 13
#RedVelvet… https://t.co/ukwdMZf7Kv", sangat disayangkan singapura sean gelael  bestsellergosend bupati langkat iphone   redvelvet ,Negative
KPK menggeledah rumah kediaman pribadi tersangka Bupati Langkat Terbit Rencana Perangin Angin (TRP) #KPK https://t.co/IGCeDHsf0i,kpk menggeledah rumah kediaman pribadi tersangka bupati langkat terbit rencana perangin angin  trp   kpk ,Negative
"Dugaan Perbudakan Pekerja Oleh Bupati Langkat, LPSK Siap Lindungi Korban-Saksi https://t.co/AfYWLlzgHy",dugaan perbudakan pekerja oleh bupati langkat  lpsk siap lindungi korban saksi ,Negative
"Soal Ditemukan Kerangkeng di Rumah Bupati Langkat, Polisi Sampaikan Hasil Penyelidikan https://t.co/hswobcu3wC",soal ditemukan kerangkeng di rumah bupati langkat  polisi sampaikan hasil penyelidikan ,Neutral
"@KaredokLeunca__ @Andreas_AdyM Kalau Bupati langkat gimana mak...
Parah itu serius saya",  kalau bupati langkat gimana mak    parah itu serius saya,Neutral
Sudah berapa lama buruh kebun sawit dikurung Bupati Langkat? Apa keluarga atau kerabatnya tidak tahu itu 'penjara'… https://t.co/e4eCgsd14t,sudah berapa lama buruh kebun sawit dikurung bupati langkat  apa keluarga atau kerabatnya tidak tahu itu  penjara  ,Negative
Mengungkap Kerangkeng Manusia di Rumah Bupati Langkat https://t.co/IzKMqva09a,mengungkap kerangkeng manusia di rumah bupati langkat ,Positive
W penasaran gimana perasaan  anggota KPK pas nemuin ada kerangkeng di rumahnya Bupati Langkat 🤔 pasti kaget2 gimana… https://t.co/W53fcHqgCa,w penasaran gimana perasaan  anggota kpk pas nemuin ada kerangkeng di rumahnya bupati langkat  pasti  gimana ,Neutral
"@detikcom hmmm
Singapura
Sean Gelael
#BestSellerGoSend
Bupati Langkat
iPhone 13
#RedVelvet
#SMArigged
Choi Ung
Form… https://t.co/pEqCDWB8ys", hmmm singapura sean gelael  bestsellergosend bupati langkat iphone   redvelvet  smarigged choi ung form ,Neutral
"Benarkah Bupati Langkat praktik perbudakan? 

https://t.co/bRbv5IXBEG",benarkah bupati langkat praktik perbudakan    ,Neutral
Bupati Langkat sakit anjir,bupati langkat sakit anjir,Negative
Disewakan Rumah 3 Kamar Tidur Full Furnished Baru Renovasi di Tebet - Jakarta Selatan https://t.co/1t76q55zC0 Singa… https://t.co/CuioDnRejh,disewakan rumah  kamar tidur full furnished baru renovasi di tebet   jakarta selatan  singa ,Neutral
napa mesti naje sih anjir belakangnya😭 pantes temen gue ceng2in gue jadi anak bupati langkat👎🏻😭 https://t.co/uP0Byqz44x,napa mesti naje sih anjir belakangnya pantes temen gue  gue jadi anak bupati langkat ,Neutral
"#Founder #Startup

Bupati langkat 
Selasa https://t.co/y9HjwzbSRv", founder  startup  bupati langkat  selasa ,Neutral
KPK Ceritakan Momen Temukan Kerangkeng Manusia Saat Akan OTT Bupati Langkat https://t.co/K6BRkc90Jq,kpk ceritakan momen temukan kerangkeng manusia saat akan ott bupati langkat ,Neutral
Sel bupati langkat ini bisa jadi titik awal diskusi private prisons. Di amerika lumrah kok yg begini. Negara menunj… https://t.co/JrsGouUF8L,sel bupati langkat ini bisa jadi titik awal diskusi private prisons  di amerika lumrah kok yg begini  negara menunj ,Neutral
"@VIVAcoid Radikal radikul melulu yg diomongin, kasus kerangkeng bupati langkat tolong ikut peduli kemausiaan dikit… https://t.co/eeT3YjI8j7", radikal radikul melulu yg diomongin  kasus kerangkeng bupati langkat tolong ikut peduli kemausiaan dikit ,Negative
"10 slot hari ini yuk abisin guys gercep yaa!!😍 #netflixpremium cuma 25k/bulan

✅legal
✅anti hold
✅garansi 100% 

yu… https://t.co/Jqgl9tlRZ8", slot hari ini yuk abisin guys gercep yaa    netflixpremium cuma  bulan  legal anti hold garansi     yu ,Neutral
"10 slot hari ini yuk abisin guys gercep yaa!!😍 #netflixpremium cuma 25k/bulan

✅legal
✅anti hold
✅garansi 100% 

yu… https://t.co/Oo9rZ6XnS1", slot hari ini yuk abisin guys gercep yaa    netflixpremium cuma  bulan  legal anti hold garansi     yu ,Neutral
"ASTAGHFIRULLAH DALAM ALQURAN AJA GA ADA, KO BISA2NYA SIII?

 https://t.co/UZMja8tV9l",astaghfirullah dalam alquran aja ga ada  ko  siii    ,Neutral
"Anggota DPR Buka Suara Soal Kasus Perbudakan Bupati Langkat, Rio Padjalangi: Saya Mengutuk Keras!!… https://t.co/vF5FuabQT3",anggota dpr buka suara soal kasus perbudakan bupati langkat  rio padjalangi  saya mengutuk keras   ,Negative
Bupati Langkat,bupati langkat,Neutral
"Bupati Langkat nonaktif Terbit Rencana Peranginangin diduga mempunyai sebuah penjara di rumahnya, yang dipakai untu… https://t.co/oMzGmp57da",bupati langkat nonaktif terbit rencana peranginangin diduga mempunyai sebuah penjara di rumahnya  yang dipakai untu ,Negative
"Bupati Langkat Pejabat Terkaya, Lebih Kaya dari Jokowi https://t.co/4zOkMUHvfV",bupati langkat pejabat terkaya  lebih kaya dari jokowi ,Neutral
Polisi memeriksa saksi dan mengungkap kondisi penjara yang dihuni manusia di rumah Bupati Langkat nonaktif  Terbit… https://t.co/751lUVGgnu,polisi memeriksa saksi dan mengungkap kondisi penjara yang dihuni manusia di rumah bupati langkat nonaktif  terbit ,Positive
"wowkwowkowwk ngentot banget si, baru tau ada program rehabilitasi pecandu sebagai pekerja di lahan sawit.. wes mali… https://t.co/dWRnaFoPZk",wowkwowkowwk ngentot banget si  baru tau ada program rehabilitasi pecandu sebagai pekerja di lahan sawit   wes mali ,Negative
"10 slot hari ini yuk abisin guys gercep yaa!!😍 #netflixpremium cuma 25k/bulan

✅legal
✅anti hold
✅garansi 100% 

yu… https://t.co/x40gPIC2qk", slot hari ini yuk abisin guys gercep yaa    netflixpremium cuma  bulan  legal anti hold garansi     yu ,Neutral
"10 slot hari ini yuk abisin guys gercep yaa!!😍 #netflixpremium cuma 25k/bulan

✅legal
✅anti hold
✅garansi 100% 

yu… https://t.co/z3QPt9th9h", slot hari ini yuk abisin guys gercep yaa    netflixpremium cuma  bulan  legal anti hold garansi     yu ,Neutral
"Kerangkeng di Rumah Bupati Langkat Disebut Tempat Rehabilitasi Narkoba, BNN Langkat: Itu Ilegal: Badan Narkotika Na… https://t.co/JkGzyyhD1Y",kerangkeng di rumah bupati langkat disebut tempat rehabilitasi narkoba  bnn langkat  itu ilegal  badan narkotika na ,Negative
"Tim Penyidik KPK Kembali Geledah Rumah Pribadi Bupati Langkat

Heran sih, kog selama ini ada kerangkeng manusia, ga… https://t.co/SFHPTKoBCC",tim penyidik kpk kembali geledah rumah pribadi bupati langkat  heran sih  kog selama ini ada kerangkeng manusia  ga ,Negative
"Biadab | Bupati Langkat | Migrant Care | Perbudakan Modern | Dugaan  | Kelapa Sawit

https://t.co/WOdRERfE7g",biadab   bupati langkat   migrant care   perbudakan modern   dugaan    kelapa sawit  ,Negative
"Biadab | Bupati Langkat | Migrant Care | Perbudakan Modern | Dugaan  | Kelapa Sawit

https://t.co/CnSrz0x9FM",biadab   bupati langkat   migrant care   perbudakan modern   dugaan    kelapa sawit  ,Negative
KPK Ceritakan Momen Temukan Kerangkeng Manusia Saat Akan OTT Bupati Langkat https://t.co/nKdTC2MYcn,kpk ceritakan momen temukan kerangkeng manusia saat akan ott bupati langkat ,Neutral
"mr. dudung, mr. Bupati Langkat sangat radikal dengan membuat kerangkeng manusia di rumahnya, gak tercium???",mr  dudung  mr  bupati langkat sangat radikal dengan membuat kerangkeng manusia di rumahnya  gak tercium   ,Negative
Diduga ada sejumlah satwa dilindungi lainnya https://t.co/33GVFQlKYK,diduga ada sejumlah satwa dilindungi lainnya ,Neutral
KPK Buka Suara Terkait Kerangkeng di Rumah Bupati Langkat https://t.co/dgK1ukr3wE #BupatiLangkatTerbitRencanaPeranginAngin,kpk buka suara terkait kerangkeng di rumah bupati langkat   bupatilangkatterbitrencanaperanginangin,Neutral
"@kompascom mungkin dia capek
Singapura
Sean Gelael
#BestSellerGoSend
Bupati Langkat
iPhone 13
#RedVelvet
#SMArigged… https://t.co/tFJZ7w5AAu", mungkin dia capek singapura sean gelael  bestsellergosend bupati langkat iphone   redvelvet  smarigged ,Negative
"Ada Perbudakan di Langkat?
#langkat #KerangkengManusia
#Perbudakan
https://t.co/fMeLBaBNt9",ada perbudakan di langkat   langkat  kerangkengmanusia  perbudakan ,Neutral
"Tidak kaget berita korupsi, Orang kaget dengan berita perbudakan lama oleh bupati Langkat, tapi anehnya perbudakan… https://t.co/c8cUsnyhwe",tidak kaget berita korupsi  orang kaget dengan berita perbudakan lama oleh bupati langkat  tapi anehnya perbudakan ,Negative
"BKSDA Sita Orangutan di Rumah Bupati Langkat Nonaktif, saat Petugas KPK Lakukan Penggeledahan
 
https://t.co/ZxAz5aFjbT",bksda sita orangutan di rumah bupati langkat nonaktif  saat petugas kpk lakukan penggeledahan   ,Negative
"@sugarkray Berarti kalo ditanya org skrg orang mana, jawabnya langkat yang bupati nya memperbudak pekerja sawit lah ya?", berarti kalo ditanya org skrg orang mana  jawabnya langkat yang bupati nya memperbudak pekerja sawit lah ya ,Negative
"@detikcom kok baru tau sekarang?
Singapura
Sean Gelael
#BestSellerGoSend
Bupati Langkat
iPhone 13
#RedVelvet… https://t.co/AC4kzrKMyw", kok baru tau sekarang  singapura sean gelael  bestsellergosend bupati langkat iphone   redvelvet ,Negative
"JUAL NETFLIX PREMIUM MURAH

SHARING
45/bulan
130/3 bulan

PRIVATE
195/bulan

APP LAIN CEK PIN
MINAT DM/WA

youtube… https://t.co/sKxzy1cIaT",jual netflix premium murah  sharing  bulan   bulan  private  bulan  app lain cek pin minat dm wa  youtube ,Positive
@susipudjiastuti Kalau memang ini benaran terjadi. Tindakan yang di lakukan oleh bupati langkat sangat bahaya. Harus segera di proses, kalau memang ini benaran terjadi  tindakan yang di lakukan oleh bupati langkat sangat bahaya  harus segera di proses,Negative
"@Syarman59 @DivHumas_Polri @migrantcare @infoLPSK @KomnasHAM Sumatra Utara memang luar bisa.
Dari gubernurnya, pold… https://t.co/PDW3sd3lLq",     sumatra utara memang luar bisa  dari gubernurnya  pold ,Positive
Bangunan ruang tahanan dibuat sejak 2012 atas inisiatif bupati dan belum terdaftar. https://t.co/CJXgdI0bCW,bangunan ruang tahanan dibuat sejak  atas inisiatif bupati dan belum terdaftar  ,Neutral
Gak pernah bener yg jadi bupati langkat,gak pernah bener yg jadi bupati langkat,Neutral
"Aku bingung dgn istilah ""warga binaan di sel pribadi,"" digunakan terkesan punya dasar hukum untuk legalitasnya.

Sb… https://t.co/Uk4weGH4Jj",aku bingung dgn istilah  warga binaan di sel pribadi   digunakan terkesan punya dasar hukum untuk legalitasnya   sb ,Negative
"Kontrakan Dan Sewa Kios Toko Murah Cikarang Bekasi - 2 Kamar Tidur https://t.co/0WibtdqBdA Singapura
Sean Gelael… https://t.co/14Cj0Rca7k",kontrakan dan sewa kios toko murah cikarang bekasi    kamar tidur  singapura sean gelael ,Positive
Bupati Langkat https://t.co/gBJEqHEgLU,bupati langkat ,Neutral
"smpt bingung juga ,nama bupati langkat Rencana terbit?",smpt bingung juga  nama bupati langkat rencana terbit ,Negative
"@JeromePolin atas ane mungkin tau
Singapura
Sean Gelael
#BestSellerGoSend
Bupati Langkat
iPhone 13
#RedVelvet… https://t.co/mpY6rdArB4", atas ane mungkin tau singapura sean gelael  bestsellergosend bupati langkat iphone   redvelvet ,Neutral
Rakyat langkat goblok2. Bupati anggota pemuda pancasila kok dipilih,rakyat langkat   bupati anggota pemuda pancasila kok dipilih,Negative
"Bupati langkat ditanem ajalah di semen, buat tumbal alfamart kek apaan kek",bupati langkat ditanem ajalah di semen  buat tumbal alfamart kek apaan kek,Negative
Kemendagri Mendukung Proses Pengusutan Tindakan Praktik Perbudakan Modern di Rumah Bupati Langkat https://t.co/9ZeKh6iKKR,kemendagri mendukung proses pengusutan tindakan praktik perbudakan modern di rumah bupati langkat ,Positive
"@seterahdeh gak bosen sih soalnya gak pernah nonton

Singapura
#BestSellerGoSend
Bupati Langkat
iPhone 13… https://t.co/ZFtJXsf85w", gak bosen sih soalnya gak pernah nonton  singapura  bestsellergosend bupati langkat iphone  ,Neutral
"'Jin Buang Anak' Bangkit Kesadaran Warga Kalimantan, Saatnya Tuntut Maaf Para Pembakar Hutan… https://t.co/5KDAoaDBhm", jin buang anak  bangkit kesadaran warga kalimantan  saatnya tuntut maaf para pembakar hutan ,Positive
"Sewa Rumah Cluster Dekat Bandara Cengkareng, Tangerang - 3 Kamar Tidur - Perumahan Alam Raya… https://t.co/FwaXeZaK4l",sewa rumah cluster dekat bandara cengkareng  tangerang    kamar tidur   perumahan alam raya ,Neutral
Polisi: Ruang Tahanan di Kediaman Bupati Langkat Tak Berizin https://t.co/M2eOELltF8,polisi  ruang tahanan di kediaman bupati langkat tak berizin ,Negative
"Berdasarkan hasil pendalaman, Panca mengatakan kerangkeng tersebut adalah tempat rehabilitasi yang dibuat secara pr… https://t.co/Bs4CWVxgJW",berdasarkan hasil pendalaman  panca mengatakan kerangkeng tersebut adalah tempat rehabilitasi yang dibuat secara pr ,Neutral
Dikawal pasukan berlaras panjang https://t.co/iOPWB5wU0M,dikawal pasukan berlaras panjang ,Neutral
Polda Sumut Periksa 11 Orang dalam Kasus Dugaan Perbudakan Manusia Bupati Langkat Nonaktif  https://t.co/zSkCCMGDVl… https://t.co/ufZRbkIjc8,polda sumut periksa  orang dalam kasus dugaan perbudakan manusia bupati langkat nonaktif   ,Negative
"Kerangkeng Manusia di Rumah Bupati Langkat, DPR: Perampasan Kemerdekaan https://t.co/q4dduK2h2k https://t.co/NI7mTrsOOl",kerangkeng manusia di rumah bupati langkat  dpr  perampasan kemerdekaan  ,Negative
